"Name","Description0","Description1","Description2","Description3","Price","Stars","Counto","Countp","Lasto"
"Телевизор Samsung UE32N5000AU","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","HDMI x2, USB, DVB-T2",15290,4.5,10,74,"Узкие рамки дисплея, молниеносно включается, картинка отличная, звук хороший, настроить проще простого, на ножках не качается, как многие современные телевизоры,очень лёгкий..."
"Телевизор Samsung UE40NU7100U","ЖК-телевизор"," 4K UHD","диагональ 40","Smart TV (Tizen), Wi-Fi",25590,4.5,25,68,"Хороший телек за свои деньги. Был выбор между монитором  LG 27UK650 и этим телеком для использования как монитор. LG был бы лучше по части цветопередачи и углов обзора, однако он бы был не контрастным совсем, а также обладал бы ужасными засветами и I..."
"Телевизор LG 32LJ500V","ЖК-телевизор"," 1080p Full HD","диагональ 32","HDMI x2, USB, DVB-T2",14500,4.5,41,77,"Модель телевизора LG 32LJ500V стоит своих денег. 
Удобно слушать радио с отключенным экраном, есть такая функция...."
"Телевизор Polarline 40PL52TC-SM","ЖК-телевизор"," 1080p Full HD","диагональ 40","Smart TV (Android), Wi-Fi",12913,4,17,11,"Телевизор хорош за свои деньги , программное обеспечение не из лучших.Но за такие деньги 13990 которые я взял это смешно требовать от него как от компьютера или телефона не получится. Андроид 4.4 полный-то есть можно скачивать любые приложения . Пред..."
"Телевизор Polarline 32PL52TC","ЖК-телевизор"," 720p HD","диагональ 32","HDMI x3, USB x2, DVB-T2",8990,4.5,56,8,"В первую очередь взял из за цены. Доставили на следующий день после заказа. Это первая покупка в беру.ру. Пока впечатление отличное. Никакой предоплаты. Доброжелательный курьер. Изображение и внешний вид на уровне более известных китайских производит..."
"Телевизор Samsung UE43N5500AU","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV, Wi-Fi",24400,4.5,9,81,"Хорошая устойчивая подставка, достаточно тонкий, неплохое качество пластика и сборки...."
"Телевизор Samsung UE32N5300AU","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV, Wi-Fi",17750,4.5,25,64,"Экран, качество картинки, углы обзора. Довольно быстрая операционная система и начинка. видео с инета через WiFi и встроенный браузер просматриваются в качестве FullHD без тормозов. Звук средний, но для данного размера динамиков очень даже не плох. Н..."
"Телевизор Hyundai H-LED40F456BS2","ЖК-телевизор"," 1080p Full HD","диагональ 40","HDMI x2, USB, DVB-T2",13190,5,4,24,"Цена, нет лишних функций, равномерная подсветка и хорошее качество сборки, надёжность...."
"Телевизор LG 49UK6200","ЖК-телевизор"," 4K UHD","диагональ 48.5","Smart TV (webOS), Wi-Fi",28800,4.5,17,52,"Качество изображения, громкость, простота и удобство Smart TV, всеядность встроенного плеера, вес. ..."
"Телевизор Samsung UE43N5000AU","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","HDMI x2, USB, DVB-T2",21950,4.5,17,70,"Стоимость.  Диагональ,  Звук и качество изображения цифрового TV...."
"Телевизор Samsung UE49NU7300U","ЖК-телевизор"," 4K UHD","диагональ 48.5","Smart TV (Tizen), Wi-Fi",35450,4.5,9,73,"За эти деньги супер ! Звук весьма достойный , для встроенных динамиков ! Изображение тоже впечатляет , особенно при просмотре фильмов в 4к . Удобные 2 ножки , телевизор не шатается. Быстро работает...."
"Телевизор LG 32LJ600U","ЖК-телевизор"," 720p HD","диагональ 32","Smart TV (webOS), Wi-Fi",15470,4.5,26,70,"Все кто пишет ,что проблема с вай фаем ,вылетает,перезапускается и тд.Проблема не в тв,а в вашем инете,читала много отзывов с такими проблемами,но купили на свой страх и риск,и о чудо!все работает,инет ни разу не вылетал и все прекрасно грузится,роут..."
"Телевизор LG 43UK6450","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",27500,4.5,23,64,"Картинка и звук потрясающие, стерео эффект и глубина звучания обволакивают. Еше раз повторюсь на нытье некоторых пользователей WebOS - картинка и звук идут плавно по wifi 5hz AC (лучше использовать именно такое сочетание параметров связи) . LG каналы..."
"Телевизор LG 24MT49S-PZ","ЖК-телевизор"," 720p HD","диагональ 24","Smart TV (webOS), Wi-Fi",12989,4.5,22,18,"Приобрёл этот телевизор больше года назад. С помощью небольшого поворотного кронштейна HOLDER LCDS-5003 повесил на стену в кухне. Первые впечатления были положительные. Самая свежая WebOS 3.5 и сам ТВ произведён в конце марта 2017 года. Без проблем п..."
"Телевизор Philips 50PUT6023","ЖК-телевизор"," 4K UHD","диагональ 50","HDMI x3, USB x2, DVB-T2",24981,5,12,19,"Во первых это размер, 50 дюймов, качество изображения на высоте, 4к ultra hd разрешение, и это без навязчивой функции smart tv,  искал именно телевизор с 4k разрешением и без ""смарта""..."
"Телевизор LG 32LJ510U","ЖК-телевизор"," 720p HD","диагональ 32","HDMI x2, USB, DVB-T2",12700,4.5,23,67,"Да всё в общем нормально. Читает MKV с AC3. Изображение хорошее. Звук для своей цены тоже. Лёгкий и не грамоздкий. Пульт меткий...."
"Телевизор Samsung UE49NU7100U","ЖК-телевизор"," 4K UHD","диагональ 48.5","Smart TV (Tizen), Wi-Fi",31900,4.5,25,70,"Этот отзыв в основном предназначен для тех, кто хочет купить современный телевизор не изучая перед эти тонну литературы и просиживая сутками на формах.
Итак диагональ экрана 49 дюймов (123 см), в ширину 107 см, высота 60 см.
Телевизор куплен за 37500..."
"Телевизор LG 55UK6300","ЖК-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",35900,4.5,6,62,"Отличная картинка 4к hdr , отличный смарт , модель 2018 ..."
"Телевизор LG 43UK6300","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",24500,4.5,25,70,"Есть Bluetooth 4.2, Wi-Fi 802.11ac, Miracast.
Работает шустро. Удобная работа и навигация по цифровым каналам DVB-T2
Об остальном ниже..."
"Телевизор Samsung UE55NU7100U","ЖК-телевизор"," 4K UHD","диагональ 54.6","Smart TV (Tizen), Wi-Fi",38355,4.5,10,68,"Настоящий RGB(без W). Отличная картинка. Очень тонкий, в интерьере смотрится хорошо. Родной звук нормальный. Если нет завышенных требований, можно обойтись и без дополнительной акустики. С пульта от телевизора можно управлять медиаприставкой NVIDIA S..."
"Телевизор Samsung UE43NU7400U","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (Tizen), Wi-Fi",33250,4.5,25,53,"UltraHD 4K, DVB-T2, синезубый пульт (не нужно направлять на телевизор), встроенный Wi-Fi, поддержка современных кодеков (в т.ч. MPEG-4 HEVC с HDR10), понимает WMV, MKV, TS, M2TS с множеством звуковых дорожек (например, на разных языках), сопряжение с..."
"Телевизор LG 55UK6200","ЖК-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",35250,4.5,10,56,"Считаю, что это отличный телевизор, полный ""фарш"" функционала, качество картинки отличная, качество сборки и потроха успешные, не тяжелый, дополнительно пульт magic нет смысла покупать с смартфона круче управлять в частности курсором с помощью софта ..."
"Телевизор LG 50UK6510","ЖК-телевизор"," 4K UHD","диагональ 49.5","Smart TV (webOS), Wi-Fi",35200,5,6,58,"Достал из коробки,повесил на стену(старое крепление подошло),включил,подключил Wi-Fi 5GHz,настроил каналы(кабельное ТВ),поднастроил звук(добавил басов),подключил клавиатуру и мышку.Итого-10 минут....."
"Телевизор LG 28MT49S-PZ","ЖК-телевизор"," 720p HD","диагональ 28","Smart TV (webOS), Wi-Fi",15680,4.5,21,28,"С наступающим Новым 2019 годом.
Буду краток, минут на сорок. Шучу. Телевизор LED LG 28MT49S-PZ черный 28"" купили на кухню в 10 квадратов. За среднюю цену по Рязани 16300 руб.
О всех его достоинствах сказали предыдущие уважаемые люди. Спасибо им за от..."
"Телевизор Polarline 32PL52TC-SM","ЖК-телевизор"," 720p HD","диагональ 32","Wi-Fi",9500,4,31,14,"Для спальни небольшой отличный телек, сомневался что hd разрешение будет не очень, но на деле на расстоянии 1,5 метра смотреть очень комфортно..."
"Телевизор LG 24TK410V-PZ","ЖК-телевизор"," 720p HD","диагональ 23.6","HDMI, USB, DVB-T2",10100,4.5,2,30,"Для кухни отличный вариант. Громкости достаточно, у нас она на 15 единицах. Низких частот маловато, но это же для кухни! Изображение хорошее, пикселей не видно. Что ещё надо?!)..."
"Телевизор Olto 3220R","ЖК-телевизор"," 720p HD","диагональ 32","HDMI x3, USB, DVB-T2",8420,5,8,20,"Шикарная матрица. Цвета очень сочные, чёрный без засветов, почти как на OLED и углы обзора максимально возможные со всех сторон. Звук не противный точно, но не как здесь писали. Меню и переключение каналов моментальное. Внешний жёсткий диск определяе..."
"Телевизор Samsung QE49Q6FNA","ЖК-телевизор"," QLED","диагональ 48.5","Smart TV (Tizen), Wi-Fi",56250,4.5,18,71,"Яркий экран
Хороший внешний вид узкие рамки
Система не тормозит
Внутренний плеер воспроизводит 4К HDR
Без внешнего блока все в одном корпусе
Матрица быстрая тормозов не заметил.
Видео сервисы не тормозят, интернет подключение кабель.
Теле каналы «ful..."
"Телевизор Polarline 40PL51TC","ЖК-телевизор"," 1080p Full HD","диагональ 40","HDMI x3, USB x2, DVB-T2",11834,4.5,20,10,"Интуитивное меню настройки. Поймал все цифровые каналы на Кабельном ТВ..."
"Телевизор Samsung UE43N5510AU","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV, Wi-Fi",24900,4.5,6,80,"Цена, брал за 27 700 в ноунейм онлайн магазине (с норм отзывами на яндекс маркете). Нет идиотского звука при включении и выключении тв и само вкл/выкл сопровождается красивой анимацией. Есть двухдиапазонный Wi Fi. Хорошо что есть смарт функции, но о ..."
"Телевизор LG 49LK5910","ЖК-телевизор"," 1080p Full HD","диагональ 48.5","Smart TV (webOS), Wi-Fi",27300,5,2,62,NA
"Телевизор Samsung T24H390SI","ЖК-телевизор"," 1080p Full HD","диагональ 23.6","Smart TV (Tizen), Wi-Fi",13990,4.5,42,14,"Хороший телек, картинка яркая, звук не очень громкий, но на кухню вполне достаточно. Вай фай ловит хорошо. Порадовало быстрое включение, автозапуск последнего приложения из смарт тв (на старой модели самсунга такой функции нет, а жаль). ..."
"Телевизор LG 55UK6710","ЖК-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",46150,5,4,56,"Не тормозит от слова совсем. Включается моментально. Хороший звук, присутствуют низы. Алюминиевый корпус, смотрится куда лучше пластика.
Ютуб работает отлично. Можно смотреть фильмы онлайн через штатный браузер.  Пульт со встроенным акселерометром. (..."
"Телевизор Samsung UE32M5500AU","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (Tizen), Wi-Fi",22650,4.5,43,31,"Великолепное качество картинки, прекрасный звук...."
"Телевизор LG 32LK500B","ЖК-телевизор"," 720p HD","диагональ 31.5","HDMI x2, USB, DVB-T2",13200,5,1,65,NA
"Телевизор LG 32LK6190","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (webOS), Wi-Fi",19990,4.5,21,67,"Довольно громкий звук, но не хватает басов
Смотреться очень стильно
Хорошие сочные цвета, но только после часовой настройки
Довольно быстрый SmartTV, правда не андроидовский и количество приложений ограничено
Нет проблем при работе с wi-fi..."
"Телевизор LG 27TK600V-WZ","ЖК-телевизор"," 1080p Full HD","диагональ 27","HDMI, USB, DVB-T2",14250,4.5,3,43,"Интересный внешний вид, сочетание серой рамки и белого корпуса.
Диагональ 27 для кухни отлично подошла.
Full HD.
Звук...."
"Телевизор LG 49UK6300","ЖК-телевизор"," 4K UHD","диагональ 48.5","Smart TV (webOS), Wi-Fi",29200,4.5,13,65,"Отличный ТВ! Яркая, четкая картинка, чистый звук, и САМОЕ ГЛАВНОЕ: смарт летает!..."
"Телевизор LG 60UK6200","ЖК-телевизор"," 4K UHD","диагональ 59.5","Smart TV (webOS), Wi-Fi",45800,4.5,10,30,"Картинка, звук,  диагональ, функционал, цена (поясню в комментах..."
"Телевизор LG 43LK5910","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV (webOS), Wi-Fi",21900,4.5,15,63,"Классный софт! Действительно годная операционная система, с удобным интерфейсом, хорошим функционалом и набором приложений (даже Кинопоиск появился, спасибо Яндекс)!
Мультизадачность: приложение с цифровыми каналами работает в фоне, пока я копаюсь в ..."
"Телевизор LG 43UK6710","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",29900,4.5,13,58,"Картинка, звук, webOS, устойчивая подставка, пульт magic в комплекте. ..."
"Телевизор Sony KDL-32WD756","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (Linux), Wi-Fi",26350,4.5,48,54,"Изображение превосходное! Не зря хвалят! И цифровые и аналоговые каналы смотрятся очень прилично. Переключаются быстро. Смарт тоже понравился, приложений много, работает шустро (по витой паре, WiFi не пробовал). Внешний вид приятный. Включается быстр..."
"Телевизор LG 43UK6750","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",30350,5,3,22,"Качество сборки
Апскейлер прилично увеличивает контент низкого разрешения
Цветопередача (но надо настраивать. Из коробки желтит)

..."
"Телевизор LG OLED55B8","OLED-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",72290,4.5,37,88,"Качество изображения. Удобное управление. Отзывчивый интерфейс. Очень крутые смарт функции - браузер, различные приложения для просмотра тв и фильмов онлайн. Може теперь отказываеться от билайнТВ...."
"Телевизор LG 43LJ510V","ЖК-телевизор"," 1080p Full HD","диагональ 43","HDMI x2, USB, DVB-T2",19690,4.5,19,66,"Очень натуральные цвета на экране, прекрасный звук, впервые весьма продуманный пульт..."
"Телевизор Samsung UE43NU7100U","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (Tizen), Wi-Fi",27450,4.5,12,68,"Высокий контраст, шустрый YouTube, наличие HDR, удобство просмотра видео по сети (DLNA), поддержка кодеков HEVC и VP9...."
"Телевизор Xiaomi Mi TV 4A 43","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV, Wi-Fi",24200,4.5,5,9,"Множество: от внешнего вида, до качества изображения и цены...."
"Телевизор LG 43UK6390","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",25740,4.5,12,69,"Работает без глюков. Хорой звук и изображение. сказочное подключение bt наушников, включаешь наушники и телевизор предлагает их подключить самостоятельно. Ip tv через ss...."
